taxa,site_name,transect_number,condition,date,sample
diptera atherix,j3,1,restored,9-Jul-2024,yes
diptera atherix,j3,1,restored,9-Jul-2024,yes
diptera atherix,j3,1,restored,9-Jul-2024,yes
diptera atherix,j3,1,restored,9-Jul-2024,yes
diptera atherix,j3,1,restored,9-Jul-2024,yes
diptera atherix,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera atherix,j3,1,restored,9-Jul-2024,yes
diptera atherix,j3,1,restored,9-Jul-2024,yes
diptera atherix,j3,1,restored,9-Jul-2024,yes
diptera atherix,j3,1,restored,9-Jul-2024,yes
diptera atherix,j3,1,restored,9-Jul-2024,yes
diptera atherix,j3,1,restored,9-Jul-2024,yes
diptera atherix,j3,1,restored,9-Jul-2024,yes
plecoptera spp.,j3,1,restored,9-Jul-2024,yes
diptera spp.,j3,1,restored,9-Jul-2024,yes
diptera spp.,j3,1,restored,9-Jul-2024,yes
diptera spp.,j3,1,restored,9-Jul-2024,yes
diptera spp.,j3,1,restored,9-Jul-2024,yes
odonata spp.,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,1,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes
diptera chironomidae,j3,2,restored,9-Jul-2024,yes